Pais_comprador,Industria,2000/Enero,2000/Febrero,2000/Marzo,2000/Abril,2000/Mayo,2000/Junio,2000/Julio,2000/Agosto,2000/Septiembre,2000/Octubre,2000/Noviembre,2000/Diciembre,2001/Enero,2001/Febrero,2001/Marzo,2001/Abril,2001/Mayo,2001/Junio,2001/Julio,2001/Agosto,2001/Septiembre,2001/Octubre,2001/Noviembre,2001/Diciembre,2002/Enero,2002/Febrero,2002/Marzo,2002/Abril,2002/Mayo,2002/Junio,2002/Julio,2002/Agosto,2002/Septiembre,2002/Octubre,2002/Noviembre,2002/Diciembre,2003/Enero,2003/Febrero,2003/Marzo,2003/Abril,2003/Mayo,2003/Junio,2003/Julio,2003/Agosto,2003/Septiembre,2003/Octubre,2003/Noviembre,2003/Diciembre,2004/Enero,2004/Febrero,2004/Marzo,2004/Abril,2004/Mayo,2004/Junio,2004/Julio,2004/Agosto,2004/Septiembre,2004/Octubre,2004/Noviembre,2004/Diciembre,2005/Enero,2005/Febrero,2005/Marzo,2005/Abril,2005/Mayo,2005/Junio,2005/Julio,2005/Agosto,2005/Septiembre,2005/Octubre,2005/Noviembre,2005/Diciembre,2006/Enero,2006/Febrero,2006/Marzo,2006/Abril,2006/Mayo,2006/Junio,2006/Julio,2006/Agosto,2006/Septiembre,2006/Octubre,2006/Noviembre,2006/Diciembre,2007/Enero,2007/Febrero,2007/Marzo,2007/Abril,2007/Mayo,2007/Junio,2007/Julio,2007/Agosto,2007/Septiembre,2007/Octubre,2007/Noviembre,2007/Diciembre,2008/Enero,2008/Febrero,2008/Marzo,2008/Abril,2008/Mayo,2008/Junio,2008/Julio,2008/Agosto,2008/Septiembre,2008/Octubre,2008/Noviembre,2008/Diciembre,2009/Enero,2009/Febrero,2009/Marzo,2009/Abril,2009/Mayo,2009/Junio,2009/Julio,2009/Agosto,2009/Septiembre,2009/Octubre,2009/Noviembre,2009/Diciembre,2010/Enero,2010/Febrero,2010/Marzo,2010/Abril,2010/Mayo,2010/Junio,2010/Julio,2010/Agosto,2010/Septiembre,2010/Octubre,2010/Noviembre,2010/Diciembre,2011/Enero,2011/Febrero,2011/Marzo,2011/Abril,2011/Mayo,2011/Junio,2011/Julio,2011/Agosto,2011/Septiembre,2011/Octubre,2011/Noviembre,2011/Diciembre,2012/Enero,2012/Febrero,2012/Marzo,2012/Abril,2012/Mayo,2012/Junio,2012/Julio,2012/Agosto,2012/Septiembre,2012/Octubre,2012/Noviembre,2012/Diciembre,2013/Enero,2013/Febrero,2013/Marzo,2013/Abril,2013/Mayo,2013/Junio,2013/Julio,2013/Agosto,2013/Septiembre,2013/Octubre,2013/Noviembre,2013/Diciembre,2014/Enero,2014/Febrero,2014/Marzo,2014/Abril,2014/Mayo,2014/Junio,2014/Julio,2014/Agosto,2014/Septiembre,2014/Octubre,2014/Noviembre,2014/Diciembre,2015/Enero,2015/Febrero,2015/Marzo,2015/Abril,2015/Mayo,2015/Junio,2015/Julio,2015/Agosto,2015/Septiembre,2015/Octubre,2015/Noviembre,2015/Diciembre,2016/Enero,2016/Febrero,2016/Marzo,2016/Abril,2016/Mayo,2016/Junio,2016/Julio,2016/Agosto,2016/Septiembre,2016/Octubre,2016/Noviembre,2016/Diciembre,2017/Enero,2017/Febrero,2017/Marzo,2017/Abril,2017/Mayo,2017/Junio,2017/Julio,Fecha
América Latina,Industrias Manufactureras,45624927,38402717,45714515,53314410,68750896,67485328,62364404,60669012,65432673,55449279,64030031,69420372,60262319,67522980,86290892,77937911,85108588,73835368,78546337,69221493,84228644,82759261,71924711,70730651,62023950,62459404,73626985,69694547,70193502,65390258,84103970,91348734,89503618,86753087,64925972,84419002,53140179,52730525,60429677,58744343,62084305,78329872,96628822,84397497,99637738,95516128,139718113,87220366,54292776,62814703,67300724,65268285,64595511,62128795,56833656,70327842,61219999,66213140,81508155,65054509,58285129,81260433,68131575,74255828,72027599,72909762,80570266,77186708,83873893,76430440,103148390,80411008,76076809,72823285,95966953,77188389,91317411,88001064,73507932,83395018,80882603,92516041,92903427,78713338,115018796,117749088,143263062,133539402,148377338,162471084,154455917,181839168,133652139,166274689,160736936,137059660,167464230,207695896,207870594,217538566,191462756,202833430,231499301,232780395,245647861,172011366,131928745,184960263,124822593,124418175,132671035,111088736,99744032,125857880,139258221,146090593,174830177,145582212,192566444,166053027,170255151,174695474,225043181,241169618,223357095,271196663,234424812,272901846,214608175,202106408,225568142,245388127,228496717,225636405,309213037,283827608,297164452,338378418,301791994,395359448,383704146,376411016,420086063,376344486,336032284,368112786,460252952,383335323,339097873,429771838,335500561,310678358,275295065,268116843,248413633,243921261,255420276,253651654,304945168,293179040,311699718,335990656,387178812,364485425,338156500,343821931,301498197,271279623,228187784,219652814,274470508,294149149,278547017,298111292,265101595,289723051,282299189,310987664,294818529,247149170,195019627,207683485,224172173,225556880,221165395,223520932,263653987,219923200,205014645,197189996,172334311,195252447,150011545,156284467,172482653,180442928,186511927,235400594,182003493,184201588,209812150,206177987,193984710,188936649,176497741,170571934,213453105,190375350,226491300,231492812,205106823,35909386290
América Latina,Industrias Extractivas,242891,222199,239427,243048,219040,165866,227184,437984,306574,398980,252689,263640,449014,330353,275235,433334,180505,581555,435150,365458,522324,608566,444398,412927,415556,415771,181029,422848,378275,478007,368810,421565,225250,374254,385655,391342,348085,240836,212791,388565,376339,456608,511712,551539,350195,393225,252332,497163,5811,N/D,9438,19717,18175,12766,4815,11461,16093,492,4792,6660,264079,322568,258429,340366,307968,304636,348916,385008,363115,314797,391919,512687,353185,275659,356356,405609,292023,467807,422954,368981,435599,554961,80451,38111,17619,25730,29205,10558,51795,64163,51209,12472,56222,43404,13755,31345,305355,523310,27627,57609,121822,18704,46706,56279,82050,68132,17721,41497,11784,34804,12130,42642,175434,780301,24214,52326,896527,1130308,1010570,2172079,871999,909831,801394,805484,1418711,1046521,986426,1097109,1279465,933281,1308140,751662,1427881,1136956,1439599,821863,723172,735502,620103,849729,846205,902978,972282,681449,615653,755328,914804,927376,1024484,907728,1269483,2381875,1347358,1312982,613986,1003329,992405,1652910,2156422,2078202,1442115,1510927,1653838,1676177,1440847,1590705,1102304,2238850,1256914,999891,946699,581234,684244,1240820,1506457,1424514,1756372,1623822,1125790,1246545,888044,815676,1080517,713329,1126486,1593313,1434715,1535856,1295808,1136621,1159806,1070895,1058368,1150198,1220261,907217,1049375,1132882,1259245,1628330,1677727,1417988,972357,939289,743038,1174774,1145274,924650,1237762,1204378,1118482,139873653
América Latina,Agricultura y Silvicultura,10272,N/D,13188,8227,13335,51155,67990,47665,30904,19638,19578,34208,24572,1473,146136,45003,5680,95191,612,4466,22460,1047,10005,1316,78537,158580,154862,154769,46282,4206,60,35335,22404,42389,30558,30973,14568,28758,15341,32522,33414,6783,15196,222,521,4325,6034,50642,495647,1513281,62125,661056,93475,11852,62659,88170,84325,96258,1396254,2399582,133864,428886,43970,793492,491804,318509,172016,202380,3677008,11886,73141,3919651,1541349,124453,65688,1041090,1801963,995025,93915,102179,120918,63705,4254050,2466256,139829,88285,284725,2407469,3290305,795114,206676,122370,33842,289439,2235090,2981399,1061674,133920,757615,488081,1406962,4479542,301697,4395907,189030,287643,121948,856108,7159354,2645075,1787079,55917,167420,1765871,707955,423129,329831,446755,20224,4504847,4954349,7643491,3203908,1909537,2626154,1221206,2264823,937192,244919,862931,899396,1961752,985495,8806292,13152500,4232844,4383958,742537,1469662,2529200,729584,634189,755311,705261,7377669,7724271,4418298,11079315,1536928,1240854,1540740,959049,3419890,2791060,4318441,13000382,9285585,2797588,1977525,25676584,6622135,687589,1341767,2391981,2415211,1883469,5011598,4863866,1927505,10771776,13397891,22341925,10896197,4136577,6115447,2316167,2491269,9588479,4001579,1759892,2567274,846099,1411258,3825331,1313523,10083615,1563150,864666,1468366,1988064,650335,1219036,483847,1694510,6262862,11382506,6813275,2550122,1996147,1291060,2598763,7177628,5968904,5579930,3665253,8335586,13086784,3884756,7871155,1950147,1601679,482870004
América Latina,Servicios y Productos no Clasificados,18523,8408,8337,2532,4448,9937,4954,15070,8167,49244,12929,40892,5906,23706,23804,14778,21133,13672,5313,19237,31710,38720,33936,17610,15404,66729,117087,27494,11663,16746,18207,16139,15157,27460,74798,74795,95242,25594,3956,12028,12016,6813,10584,13618,15618,9093,14876,6899,5541,8403,4361,118916,14331,34427,7907,11660,61842,4480,20537,1432,1278,548,377,7273,2105,1083,2920,2201,263,2000,48705,755,708,934,5296,1877,5236,2363,11035,5914,4293,5287,21348,11190,11572,5076,19258,417,14049,6230,2167,3487,2021,4476,7194,16916,765,32809,8426,7700,9794,988,3513,4347,2950,4484,9337,1812,1214,5036,4509,5582,4156,19537,5546,30945,3655,11018,12946,15629,7322,10246,16391,7918,6434,16775,27627,2238,9050,22197,13186,2352,20859,1380,1453,11718,59627,12839,4349,45211,19405,8488,7315,4854,4356,230782,27514,79737,1073,307038,100930,53980,38332,37445,39145,361108,544330,208312,303940,278950,51880,36626,48200,296909,52684,73743,122052,267731,175157,621179,1722549,746636,464232,317904,184229,206037,1473658,1278467,937886,681395,420692,1037813,841728,208554,215778,228119,217435,226653,346576,245251,428783,242868,294162,1301689,1453076,1003179,1192153,15838647,1766712,1703657,1347368,1469897,2300127,1873596,1363041,1422686,1219265,1480990,1455130,3954476,1647873,63342637
América Latina,"Ganadería, Apicultura, Caza, Pesca",N/D,N/D,N/D,2131,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,8000,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,105558,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,300,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,1495,N/D,N/D,N/D,N/D,26375,N/D,N/D,N/D,20,760,2880,480,960,1080,2996,N/D,720,N/D,1560,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,4104,978,4090,4920,315,4394,3833,7490,3560,2954,3234,1300,270,1238,80,510,287,1235,200107
América Latina,Clasificación industrial,45896613,38633324,45975467,53570348,68987719,67712286,62664532,61169731,65778318,55917141,64315227,69759112,60741811,67878512,86736067,78431026,85315906,74525786,78987412,69610654,84805138,83407594,72413050,71162504,62533447,63100484,74079963,70299658,70629722,65889217,84491047,91821773,89766429,87197190,65416983,84916112,53598074,53025713,60661765,59177458,62506074,78800076,97166314,84962876,100004072,95922771,139991355,87775070,54799775,64336387,67376648,66067974,64721492,62187840,56909037,70439133,61382259,66314370,82929738,67462183,58684350,82012435,68434351,75396959,72829476,73533990,81094118,77776297,87914279,76759123,103662155,84844101,77972051,73224331,96394293,78636965,93416633,89466259,74035836,83872092,81443413,93139994,97259276,81228895,115187816,117868179,143596250,135957846,151733487,163336591,154715969,181977497,133744224,166612008,162992975,140089320,168832024,208385935,208664262,218091956,193001334,207332664,231851217,237236928,245921891,172371625,132085751,185859680,131994945,127103090,134474753,111192877,100091042,128423589,139995936,146596993,176060190,147170293,193610184,172745582,176088821,183259042,229064874,243892557,227408394,273481165,237809246,274938385,216141609,203924817,227788864,248103893,230930952,235581033,323806589,288894333,302331209,339869296,303886108,398783588,385299340,377956671,421820971,377736050,344029962,376824662,465613568,395421751,341660358,432227458,338438089,314073262,280100645,272258330,253385225,258286840,266245476,258310944,309384015,321213856,319818844,338225798,390223337,368850492,342066802,347369848,307734151,278650070,231547360,232045660,290537647,317818944,290591690,303806593,272907728,293669769,288020488,323478432,300883784,250837002,198895637,210383073,227505676,230304094,223821182,235425979,266869287,222550375,208125395,200559932,174573235,197785246,151847922,160434968,181419830,193739920,195571650,254922560,187029991,188828468,215443498,216247060,203229052,197332698,182270373,181505250,228905666,196665826,237055857,238602100,209476092,36595672691
Asia,Industrias Manufactureras,48141061,46527710,43549018,44293026,38355526,54724148,47195721,48399040,56129954,47215365,48271977,56263388,59210966,35543163,49647119,42833941,59945749,37028126,42199258,36958784,45402542,60133104,41549028,44552880,143635215,152935008,105196575,56320987,55992638,48752798,60363859,40703707,51968370,44595693,53888935,63504199,38237454,20240214,28400885,18021174,13568432,21172610,14770098,9508029,15093349,8401234,7613647,19954083,40090305,35806742,47187982,39278666,47188167,50612061,89283625,98204151,87138277,63796880,64743185,55065315,56698551,66528469,62788255,61553855,63940689,70480137,53717811,62468491,52667244,54748694,118176679,118761796,103847950,88461373,116965453,81121954,110466912,103444511,202949726,122020407,108251531,167684009,186106599,109421757,123178343,110014454,121232923,124946533,162335875,156379925,149192370,147267925,138820728,134562185,116158131,116773919,128400095,121838909,131706932,127854305,108582571,73383342,57307693,64648687,82520026,95612455,50432213,62335433,58744561,43866044,72088022,58730354,55317998,62928587,53571110,56382142,70903931,84106695,91638235,100376169,86137985,131756655,129203773,129895834,125719098,71995220,64294463,65636695,89254592,123652127,129775629,93252774,91354444,77496259,84170447,68352065,111620743,75833699,82428013,83818766,83032907,83627304,80346617,164584653,198464709,189187220,213845709,239159162,221661698,231331242,344572999,264090484,226907542,223236063,262131927,172708303,190986535,193186754,214087278,233048310,192033820,261881479,255622608,328862916,238079106,241095594,247918584,229494974,210311531,187697210,176468387,220461990,201511633,199470969,247292216,292322611,230542079,252999650,254937646,266825426,273359934,245484549,289648999,256740494,172070817,226200242,256225468,231817712,210494948,195019516,208212602,174151450,181516595,177079136,144366936,179504515,179216572,130945176,161760558,192334531,147237405,198226433,168923365,175626361,169275847,155214405,323553366,189724587,197157442,186261472,242855867,25724601082
Asia,Industrias Extractivas,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,40,N/D,N/D,N/D,N/D,N/D,7,N/D,37662,N/D,N/D,25075,28299,18806,10030,5015,5015,N/D,93345,N/D,N/D,N/D,34576,1926947,20349,N/D,1926947,10831,10268,3217278,N/D,27296,54338,N/D,64231,N/D,N/D,N/D,34529,18088,8025,N/D,126065,26427,9280,N/D,N/D,46903,96245,18208,21413,32961,45004,54833,23690,62312,101256,93119,36815,48344,94847,N/D,55012,70143,84478,112730,92022,148984,96693,109419,190071,128405,90789,165971,84097,66185,45210,154404,94824,137767,152247,48379,67110,51730,244891,63312,123797,108949,97636,324880,37078,249402,77656,58636,396354,157090,185146,204702,377180,140150,333825,265903,454813,398406,109640,207235,576433,283408,523926,283109,230383,366388,306362,298307,140116,296296,134707,251308,305076,172533,541768,245258,775201,1105810,659614,752637,1059020,415051,413542,312879,482252,805959,499208,755992,355420,757233,417476,533996,802398,229891,260023,566255,601750,379587,1397359,736747,405003,686203,638125,262170,610680,535264,486243,853266,732036,788279,1046012,766381,236961,346494,412296,803432,414565,379861,494677,474029,852891,865891,502272,906765,650964,280203,696133,693964,450671,353767,626398,435796,294119,608139,702997,974090,549048,830356,441432,503758,633786,438855,523084,384542,502383,538998,558994,683214,802993,64067196
Asia,Agricultura y Silvicultura,19927,N/D,25215,46483,24063,27966,27600,27938,55688,27527,27657,25669,13811,3724,34554,21045,25026,27408,22261,22150,26917,27218,23098,28397,11618,10413,10986,38466,13182,14002,10834,21016,13976,13157,13750,15686,13472,11500,10599,35093,14935,23303,10246,26020,16435,24085,14518,9695,1991,N/D,665,32,68,40,18,31952,38700,39042,18587,16459,14453,10350,27723,14367,11208,24154,58519,18417,13250,N/D,22352,N/D,26926,10438,12460,62304,91508,23110,22949,25562,3,25,257,2185,234,N/D,63,30,1900,134,N/D,20,28284,10020,16800,12828,12607,2,66715,77014,32392,13,75713,136213,12080,31963,2,N/D,25,60755,N/D,N/D,102500,282825,6043,119777,360380,123582,422089,651,22994,85491,9447,9783,3129,137,105612,171895,370464,47,781372,158286,40838,84063,34426,51,78714,44642,40376,44309,16243,410037,323647,26406,245079,24569,120076,823234,1397677,2970419,2137876,1778471,1835324,2122060,2851280,190388,208097,935552,1314897,1557790,1060997,294021,631897,1452974,1929536,1469858,3479787,2333760,3118605,3566720,4125128,5036879,6750676,3259906,2576620,1771086,2026376,1311394,1173462,2131583,2846139,2550982,1846695,1485664,1681209,1206734,2031641,2099266,2490416,3066394,1502873,2442049,1431744,2577386,2703295,3187535,3765146,4354093,5203993,4053044,4749897,4648694,5717631,4428425,4700126,6567657,9988983,4638547,7586434,6610099,4276965,192958259
